0,take
1,put
2,wash
3,open
4,close
5,insert
6,turn-on
7,cut
8,turn-off
9,pour
10,mix
11,move
12,remove
13,throw
14,dry
15,shake
16,scoop
17,adjust
18,squeeze
19,peel
20,empty
21,press
22,flip
23,turn
24,check
25,scrape
26,fill
27,apply
28,fold
29,scrub
30,break
31,pull
32,pat
33,lift
34,hold
35,eat
36,wrap
37,filter
38,look
39,unroll
40,sort
41,hang
42,sprinkle
43,rip
44,spray
45,cook
46,add
47,roll
48,search
49,crush
50,stretch
51,knead
52,divide
53,set
54,feel
55,rub
56,soak
57,brush
58,sharpen
59,drop
60,drink
61,slide
62,water
63,gather
64,attach
65,turn-down
66,coat
67,transition
68,wear
69,measure
70,increase
71,unscrew
72,wait
73,lower
74,form
75,smell
76,use
77,grate
78,screw
79,let-go
80,finish
81,stab
82,serve
83,uncover
84,unwrap
85,choose
86,lock
87,flatten
88,switch
89,carry
90,season
91,unlock
92,prepare
93,bake
94,mark
95,bend
96,unfreeze
